fog_misses_shap_band,fog_misses_shap_desc,fog_misses_shap_abs_band,fog_misses_shap_abs_desc
53,G1_UGRD_700mb_t1,68,G1_VGRD_925m_t0
82,G1_VGRD_850m_t2,24,G1_UGRD_875m_t0
1,G1_FRICV_t1,77,G1_VGRD_875m_t1
0,G1_FRICV_t0,9,G1_UGRD_975mb_t1
30,G1_UGRD_850m_t2,64,G1_VGRD_950m_t0
85,G1_VGRD_825m_t1,108,G2_TKE_975m_t0
85,G1_VGRD_825m_t1,45,G1_UGRD_750m_t1
7,G1_UGRD_10m_t3,152,G2_TKE_700m_t0
2,G1_FRICV_t2,58,G1_VGRD_10m_t2
1,G1_FRICV_t1,4,G1_UGRD_10m_t0
3,G1_FRICV_t3,66,G1_VGRD_950m_t2
0,G1_FRICV_t0,70,G1_VGRD_925m_t2
91,G1_VGRD_800m_t3,34,G1_UGRD_825m_t2
4,G1_UGRD_10m_t0,81,G1_VGRD_850m_t1
5,G1_UGRD_10m_t1,312,G4_Q_t0
6,G1_UGRD_10m_t2,13,G1_UGRD_950mb_t1
115,G2_TKE_950m_t3,28,G1_UGRD_850m_t0
31,G1_UGRD_850m_t3,47,G1_UGRD_750m_t3
36,G1_UGRD_800m_t0,57,G1_VGRD_10m_t1
35,G1_UGRD_825m_t3,172,G2_Q87_t0
34,G1_UGRD_825m_t2,14,G1_UGRD_950mb_t2
33,G1_UGRD_825m_t1,55,G1_UGRD_700mb_t3
32,G1_UGRD_825m_t0,21,G1_UGRD_900mb_t1
67,G1_VGRD_950m_t3,42,G1_UGRD_775m_t2
78,G1_VGRD_875m_t2,5,G1_UGRD_10m_t1
2,G1_FRICV_t2,9,G1_UGRD_975mb_t1
41,G1_UGRD_775m_t1,84,G1_VGRD_825m_t0
40,G1_UGRD_775m_t0,111,G2_TKE_975m_t3
42,G1_UGRD_775m_t2,132,G2_TKE_825m_t0
28,G1_UGRD_850m_t0,36,G1_UGRD_800m_t0
19,G1_UGRD_925mb_t3,129,G2_TKE_850m_t1
30,G1_UGRD_850m_t2,60,G1_VGRD_975m_t0
27,G1_UGRD_875m_t3,40,G1_UGRD_775m_t0
26,G1_UGRD_875m_t2,6,G1_UGRD_10m_t2
25,G1_UGRD_875m_t1,86,G1_VGRD_825m_t2
12,G1_UGRD_950mb_t0,4,G1_UGRD_10m_t0
10,G1_UGRD_975mb_t2,130,G2_TKE_850m_t2
11,G1_UGRD_975mb_t3,21,G1_UGRD_900mb_t1
46,G1_UGRD_750m_t2,20,G1_UGRD_900mb_t0
47,G1_UGRD_750m_t3,19,G1_UGRD_925mb_t3
23,G1_UGRD_900mb_t3,169,G2_Q90_t1
49,G1_UGRD_725m_t1,81,G1_VGRD_850m_t1
127,G2_TKE_875m_t3,78,G1_VGRD_875m_t2
42,G1_UGRD_775m_t2,53,G1_UGRD_700mb_t1
29,G1_UGRD_850m_t1,61,G1_VGRD_975m_t1
40,G1_UGRD_775m_t0,74,G1_VGRD_900m_t2
104,G1_VGRD_700m_t0,58,G1_VGRD_10m_t2
9,G1_UGRD_975mb_t1,18,G1_UGRD_925mb_t2
2,G1_FRICV_t2,17,G1_UGRD_925mb_t1
7,G1_UGRD_10m_t3,20,G1_UGRD_900mb_t0
9,G1_UGRD_975mb_t1,19,G1_UGRD_925mb_t3
12,G1_UGRD_950mb_t0,64,G1_VGRD_950m_t0
8,G1_UGRD_975mb_t0,102,G1_VGRD_725m_t2
7,G1_UGRD_10m_t3,67,G1_VGRD_950m_t3
10,G1_UGRD_975mb_t2,68,G1_VGRD_925m_t0
11,G1_UGRD_975mb_t3,69,G1_VGRD_925m_t1
28,G1_UGRD_850m_t0,6,G1_UGRD_10m_t2
25,G1_UGRD_875m_t1,14,G1_UGRD_950mb_t2
26,G1_UGRD_875m_t2,13,G1_UGRD_950mb_t1
47,G1_UGRD_750m_t3,157,G2_Q97_t1
46,G1_UGRD_750m_t2,98,G1_VGRD_750m_t2
34,G1_UGRD_825m_t2,97,G1_VGRD_750m_t1
35,G1_UGRD_825m_t3,99,G1_VGRD_750m_t3
30,G1_UGRD_850m_t2,58,G1_VGRD_10m_t2
27,G1_UGRD_875m_t3,59,G1_VGRD_10m_t3
26,G1_UGRD_875m_t2,24,G1_UGRD_875m_t0
25,G1_UGRD_875m_t1,23,G1_UGRD_900mb_t3
28,G1_UGRD_850m_t0,14,G1_UGRD_950mb_t2
31,G1_UGRD_850m_t3,84,G1_VGRD_825m_t0
32,G1_UGRD_825m_t0,0,G1_FRICV_t0
3,G1_FRICV_t3,1,G1_FRICV_t1
29,G1_UGRD_850m_t1,60,G1_VGRD_975m_t0
36,G1_UGRD_800m_t0,97,G1_VGRD_750m_t1
45,G1_UGRD_750m_t1,98,G1_VGRD_750m_t2
44,G1_UGRD_750m_t0,71,G1_VGRD_925m_t3
43,G1_UGRD_775m_t3,8,G1_UGRD_975mb_t0
78,G1_VGRD_875m_t2,20,G1_UGRD_900mb_t0
159,G2_Q97_t3,19,G1_UGRD_925mb_t3
160,G2_Q95_t0,21,G1_UGRD_900mb_t1
161,G2_Q95_t1,94,G1_VGRD_775m_t2
50,G1_UGRD_725m_t2,93,G1_VGRD_775m_t1
49,G1_UGRD_725m_t1,41,G1_UGRD_775m_t1
7,G1_UGRD_10m_t3,74,G1_VGRD_900m_t2
9,G1_UGRD_975mb_t1,73,G1_VGRD_900m_t1
12,G1_UGRD_950mb_t0,72,G1_VGRD_900m_t0
11,G1_UGRD_975mb_t3,123,G2_TKE_900m_t3
10,G1_UGRD_975mb_t2,35,G1_UGRD_825m_t3
113,G2_TKE_950m_t1,43,G1_UGRD_775m_t3
12,G1_UGRD_950mb_t0,16,G1_UGRD_925mb_t0
46,G1_UGRD_750m_t2,183,G2_Q82_t3
47,G1_UGRD_750m_t3,39,G1_UGRD_800m_t3
10,G1_UGRD_975mb_t2,25,G1_UGRD_875m_t1
163,G2_Q95_t3,79,G1_VGRD_875m_t3
153,G2_TKE_700m_t1,17,G1_UGRD_925mb_t1
67,G1_VGRD_950m_t3,12,G1_UGRD_950mb_t0
17,G1_UGRD_925mb_t1,18,G1_UGRD_925mb_t2
179,G2_Q85_t3,26,G1_UGRD_875m_t2
212,G3_TMP_950mb_t0,109,G2_TKE_975m_t1
75,G1_VGRD_900m_t3,91,G1_VGRD_800m_t3
0,G1_FRICV_t0,92,G1_VGRD_775m_t0
3,G1_FRICV_t3,38,G1_UGRD_800m_t2
4,G1_UGRD_10m_t0,37,G1_UGRD_800m_t1
5,G1_UGRD_10m_t1,107,G1_VGRD_700m_t3
1,G1_FRICV_t1,62,G1_VGRD_975m_t2
2,G1_FRICV_t2,100,G1_VGRD_725m_t0
6,G1_UGRD_10m_t2,101,G1_VGRD_725m_t1
51,G1_UGRD_725m_t3,42,G1_UGRD_775m_t2
107,G1_VGRD_700m_t3,63,G1_VGRD_975m_t3
58,G1_VGRD_10m_t2,1,G1_FRICV_t1
153,G2_TKE_700m_t1,0,G1_FRICV_t0
152,G2_TKE_700m_t0,24,G1_UGRD_875m_t0
151,G2_TKE_725m_t3,61,G1_VGRD_975m_t1
137,G2_TKE_800m_t1,62,G1_VGRD_975m_t2
136,G2_TKE_800m_t0,25,G1_UGRD_875m_t1
138,G2_TKE_800m_t2,48,G1_UGRD_725m_t0
120,G2_TKE_900m_t0,33,G1_UGRD_825m_t1
105,G1_VGRD_700m_t1,103,G1_VGRD_725m_t3
7,G1_UGRD_10m_t3,104,G1_VGRD_700m_t0
8,G1_UGRD_975mb_t0,105,G1_VGRD_700m_t1
66,G1_VGRD_950m_t2,43,G1_UGRD_775m_t3
62,G1_VGRD_975m_t2,45,G1_UGRD_750m_t1
125,G2_TKE_875m_t1,38,G1_UGRD_800m_t2
61,G1_VGRD_975m_t1,39,G1_UGRD_800m_t3
64,G1_VGRD_950m_t0,37,G1_UGRD_800m_t1
65,G1_VGRD_950m_t1,96,G1_VGRD_750m_t0
100,G1_VGRD_725m_t0,91,G1_VGRD_800m_t3
31,G1_UGRD_850m_t3,77,G1_VGRD_875m_t1
101,G1_VGRD_725m_t1,36,G1_UGRD_800m_t0
60,G1_VGRD_975m_t0,76,G1_VGRD_875m_t0
108,G2_TKE_975m_t0,28,G1_UGRD_850m_t0
103,G1_VGRD_725m_t3,38,G1_UGRD_800m_t2
104,G1_VGRD_700m_t0,37,G1_UGRD_800m_t1
134,G2_TKE_825m_t2,75,G1_VGRD_900m_t3
135,G2_TKE_825m_t3,10,G1_UGRD_975mb_t2
119,G2_TKE_925m_t3,1,G1_FRICV_t1
118,G2_TKE_925m_t2,0,G1_FRICV_t0
65,G1_VGRD_950m_t1,46,G1_UGRD_750m_t2
138,G2_TKE_800m_t2,49,G1_UGRD_725m_t1
11,G1_UGRD_975mb_t3,51,G1_UGRD_725m_t3
78,G1_VGRD_875m_t2,46,G1_UGRD_750m_t2
46,G1_UGRD_750m_t2,47,G1_UGRD_750m_t3
75,G1_VGRD_900m_t3,65,G1_VGRD_950m_t1
107,G1_VGRD_700m_t3,70,G1_VGRD_925m_t2
106,G1_VGRD_700m_t2,63,G1_VGRD_975m_t3
120,G2_TKE_900m_t0,88,G1_VGRD_800m_t0
150,G2_TKE_725m_t2,118,G2_TKE_925m_t2
146,G2_TKE_750m_t2,2,G1_FRICV_t2
136,G2_TKE_800m_t0,21,G1_UGRD_900mb_t1
63,G1_VGRD_975m_t3,130,G2_TKE_850m_t2
101,G1_VGRD_725m_t1,82,G1_VGRD_850m_t2
100,G1_VGRD_725m_t0,84,G1_VGRD_825m_t0
46,G1_UGRD_750m_t2,83,G1_VGRD_850m_t3
47,G1_UGRD_750m_t3,135,G2_TKE_825m_t3
61,G1_VGRD_975m_t1,180,G2_Q82_t0
102,G1_VGRD_725m_t2,108,G2_TKE_975m_t0
211,G3_TMP_975mb_t3,178,G2_Q85_t2
76,G1_VGRD_875m_t0,126,G2_TKE_875m_t2
62,G1_VGRD_975m_t2,18,G1_UGRD_925mb_t2
61,G1_VGRD_975m_t1,259,G3_DPT_2m_t3
63,G1_VGRD_975m_t3,59,G1_VGRD_10m_t3
127,G2_TKE_875m_t3,52,G1_UGRD_700mb_t0
57,G1_VGRD_10m_t1,19,G1_UGRD_925mb_t3
102,G1_VGRD_725m_t2,20,G1_UGRD_900mb_t0
142,G2_TKE_775m_t2,11,G1_UGRD_975mb_t3
88,G1_VGRD_800m_t0,113,G2_TKE_950m_t1
72,G1_VGRD_900m_t0,61,G1_VGRD_975m_t1
151,G2_TKE_725m_t3,65,G1_VGRD_950m_t1
33,G1_UGRD_825m_t1,66,G1_VGRD_950m_t2
16,G1_UGRD_925mb_t0,11,G1_UGRD_975mb_t3
25,G1_UGRD_875m_t1,10,G1_UGRD_975mb_t2
37,G1_UGRD_800m_t1,7,G1_UGRD_10m_t3
238,G3_TMP_800mb_t2,1,G1_FRICV_t1
146,G2_TKE_750m_t2,2,G1_FRICV_t2
65,G1_VGRD_950m_t1,2,G1_FRICV_t2
110,G2_TKE_975m_t2,0,G1_FRICV_t0
52,G1_UGRD_700mb_t0,195,G2_Q75_t3
53,G1_UGRD_700mb_t1,21,G1_UGRD_900mb_t1
52,G1_UGRD_700mb_t0,134,G2_TKE_825m_t2
111,G2_TKE_975m_t3,40,G1_UGRD_775m_t0
26,G1_UGRD_875m_t2,4,G1_UGRD_10m_t0
58,G1_VGRD_10m_t2,5,G1_UGRD_10m_t1
75,G1_VGRD_900m_t3,6,G1_UGRD_10m_t2
88,G1_VGRD_800m_t0,3,G1_FRICV_t3
15,G1_UGRD_950mb_t3,5,G1_UGRD_10m_t1
58,G1_VGRD_10m_t2,4,G1_UGRD_10m_t0
234,G3_TMP_825mb_t2,2,G1_FRICV_t2
35,G1_UGRD_825m_t3,1,G1_FRICV_t1
13,G1_UGRD_950mb_t1,6,G1_UGRD_10m_t2
15,G1_UGRD_950mb_t3,0,G1_FRICV_t0
14,G1_UGRD_950mb_t2,51,G1_UGRD_725m_t3
89,G1_VGRD_800m_t1,160,G2_Q95_t0
67,G1_VGRD_950m_t3,161,G2_Q95_t1
64,G1_VGRD_950m_t0,78,G1_VGRD_875m_t2
66,G1_VGRD_950m_t2,20,G1_UGRD_900mb_t0
60,G1_VGRD_975m_t0,35,G1_UGRD_825m_t3
84,G1_VGRD_825m_t0,34,G1_UGRD_825m_t2
39,G1_UGRD_800m_t3,7,G1_UGRD_10m_t3
59,G1_VGRD_10m_t3,8,G1_UGRD_975mb_t0
53,G1_UGRD_700mb_t1,33,G1_UGRD_825m_t1
74,G1_VGRD_900m_t2,36,G1_UGRD_800m_t0
109,G2_TKE_975m_t1,120,G2_TKE_900m_t0
60,G1_VGRD_975m_t0,116,G2_TKE_925m_t0
4,G1_UGRD_10m_t0,115,G2_TKE_950m_t3
103,G1_VGRD_725m_t3,132,G2_TKE_825m_t0
6,G1_UGRD_10m_t2,42,G1_UGRD_775m_t2
68,G1_VGRD_925m_t0,41,G1_UGRD_775m_t1
55,G1_UGRD_700mb_t3,22,G1_UGRD_900mb_t2
176,G2_Q85_t0,23,G1_UGRD_900mb_t3
13,G1_UGRD_950mb_t1,19,G1_UGRD_925mb_t3
92,G1_VGRD_775m_t0,27,G1_UGRD_875m_t3
42,G1_UGRD_775m_t2,24,G1_UGRD_875m_t0
76,G1_VGRD_875m_t0,25,G1_UGRD_875m_t1
45,G1_UGRD_750m_t1,28,G1_UGRD_850m_t0
233,G3_TMP_825mb_t1,26,G1_UGRD_875m_t2
63,G1_VGRD_975m_t3,25,G1_UGRD_875m_t1
47,G1_UGRD_750m_t3,58,G1_VGRD_10m_t2
9,G1_UGRD_975mb_t1,116,G2_TKE_925m_t0
43,G1_UGRD_775m_t3,46,G1_UGRD_750m_t2
55,G1_UGRD_700mb_t3,47,G1_UGRD_750m_t3
56,G1_VGRD_10m_t0,48,G1_UGRD_725m_t0
249,G3_TMP_725mb_t1,9,G1_UGRD_975mb_t1
72,G1_VGRD_900m_t0,12,G1_UGRD_950mb_t0
18,G1_UGRD_925mb_t2,7,G1_UGRD_10m_t3
145,G2_TKE_750m_t1,10,G1_UGRD_975mb_t2
66,G1_VGRD_950m_t2,8,G1_UGRD_975mb_t0
287,G3_RH_850m_t3,11,G1_UGRD_975mb_t3
5,G1_UGRD_10m_t1,186,G2_Q80_t2
64,G1_VGRD_950m_t0,104,G1_VGRD_700m_t0
15,G1_UGRD_950mb_t3,83,G1_VGRD_850m_t3
17,G1_UGRD_925mb_t1,3,G1_FRICV_t3
18,G1_UGRD_925mb_t2,50,G1_UGRD_725m_t2
70,G1_VGRD_925m_t2,2,G1_FRICV_t2
70,G1_VGRD_925m_t2,23,G1_UGRD_900mb_t3
240,G3_TMP_775mb_t0,50,G1_UGRD_725m_t2
98,G1_VGRD_750m_t2,49,G1_UGRD_725m_t1
96,G1_VGRD_750m_t0,113,G2_TKE_950m_t1
54,G1_UGRD_700mb_t2,32,G1_UGRD_825m_t0
205,G3_TMP_2m_t1,76,G1_VGRD_875m_t0
16,G1_UGRD_925mb_t0,36,G1_UGRD_800m_t0
17,G1_UGRD_925mb_t1,35,G1_UGRD_825m_t3
233,G3_TMP_825mb_t1,3,G1_FRICV_t3
153,G2_TKE_700m_t1,28,G1_UGRD_850m_t0
55,G1_UGRD_700mb_t3,29,G1_UGRD_850m_t1
81,G1_VGRD_850m_t1,30,G1_UGRD_850m_t2
29,G1_UGRD_850m_t1,31,G1_UGRD_850m_t3
60,G1_VGRD_975m_t0,32,G1_UGRD_825m_t0
48,G1_UGRD_725m_t0,33,G1_UGRD_825m_t1
79,G1_VGRD_875m_t3,10,G1_UGRD_975mb_t2
56,G1_VGRD_10m_t0,26,G1_UGRD_875m_t2
255,G3_TMP_700mb_t3,25,G1_UGRD_875m_t1
99,G1_VGRD_750m_t3,87,G1_VGRD_825m_t3
229,G3_TMP_850mb_t1,144,G2_TKE_750m_t0
80,G1_VGRD_850m_t0,106,G1_VGRD_700m_t2
312,G4_Q_t0,49,G1_UGRD_725m_t1
155,G2_TKE_700m_t3,36,G1_UGRD_800m_t0
110,G2_TKE_975m_t2,86,G1_VGRD_825m_t2
39,G1_UGRD_800m_t3,119,G2_TKE_925m_t3
13,G1_UGRD_950mb_t1,120,G2_TKE_900m_t0
164,G2_Q92_t0,12,G1_UGRD_950mb_t0
57,G1_VGRD_10m_t1,44,G1_UGRD_750m_t0
254,G3_TMP_700mb_t2,45,G1_UGRD_750m_t1
82,G1_VGRD_850m_t2,43,G1_UGRD_775m_t3
232,G3_TMP_825mb_t0,65,G1_VGRD_950m_t1
96,G1_VGRD_750m_t0,67,G1_VGRD_950m_t3
69,G1_VGRD_925m_t1,68,G1_VGRD_925m_t0
15,G1_UGRD_950mb_t3,122,G2_TKE_900m_t2
254,G3_TMP_700mb_t2,40,G1_UGRD_775m_t0
69,G1_VGRD_925m_t1,41,G1_UGRD_775m_t1
37,G1_UGRD_800m_t1,42,G1_UGRD_775m_t2
97,G1_VGRD_750m_t1,7,G1_UGRD_10m_t3
253,G3_TMP_700mb_t1,8,G1_UGRD_975mb_t0
325,G4_VVEL_975m_t1,9,G1_UGRD_975mb_t1
180,G2_Q82_t0,10,G1_UGRD_975mb_t2
98,G1_VGRD_750m_t2,11,G1_UGRD_975mb_t3
321,G4_VIS_t1,12,G1_UGRD_950mb_t0
154,G2_TKE_700m_t2,194,G2_Q75_t2
281,G3_RH_875m_t1,197,G2_Q72_t1
257,G3_DPT_2m_t1,196,G2_Q72_t0
294,G3_RH_800m_t2,48,G1_UGRD_725m_t0
42,G1_UGRD_775m_t2,47,G1_UGRD_750m_t3
294,G3_RH_800m_t2,46,G1_UGRD_750m_t2
374,G5_TMPDP_t2,123,G2_TKE_900m_t3
373,G5_TMPDP_t1,75,G1_VGRD_900m_t3
341,G4_VVEL_875m_t1,53,G1_UGRD_700mb_t1
375,G5_TMPDP_t3,52,G1_UGRD_700mb_t0
